state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
Alabama,2020-09-28,5,0,29,NA,2531,2526,2555,NA,NA
Alabama,2020-09-29,4,0,30,NA,2537,2527,2570,NA,NA
Alabama,2020-09-30,5,0,34,NA,2544,2529,2591,NA,NA
Alabama,2020-10-01,5,0,30,NA,2550,2531,2610,NA,NA
Alabama,2020-10-02,4,0,29,NA,2555,2534,2626,NA,NA
Alabama,2020-10-03,4,0,27,NA,2561,2535,2640,NA,NA
Alabama,2020-10-04,4,0,29,NA,2567,2537,2654,NA,NA
Alabama,2020-10-05,4,0,31,NA,2572,2539,2670,NA,NA
Alabama,2020-10-06,3,0,29,NA,2576,2541,2687,NA,NA
Alabama,2020-10-07,3,0,33,NA,2581,2543,2705,NA,NA
Alabama,2020-10-08,3,0,31,NA,2586,2544,2728,NA,NA
Alabama,2020-10-09,3,0,31,NA,2590,2546,2750,NA,NA
Alabama,2020-10-10,3,0,26,NA,2594,2547,2764,NA,NA
Alabama,2020-10-11,3,0,31,NA,2598,2549,2785,NA,NA
Alabama,2020-10-12,3,0,31,NA,2602,2551,2800,NA,NA
Alabama,2020-10-13,3,0,29,NA,2607,2552,2824,NA,NA
Alabama,2020-10-14,3,0,25,NA,2611,2554,2842,NA,NA
Alabama,2020-10-15,2,0,35,NA,2614,2555,2859,NA,NA
Alabama,2020-10-16,2,0,25,NA,2618,2556,2877,NA,NA
Alabama,2020-10-17,2,0,28,NA,2622,2556,2888,NA,NA
Alabama,2020-10-18,2,0,31,NA,2623,2557,2915,NA,NA
Alabama,2020-10-19,2,0,30,NA,2626,2558,2934,NA,NA
Alabama,2020-10-20,2,0,29,NA,2629,2559,2952,NA,NA
Alabama,2020-10-21,2,0,29,NA,2632,2559,2990,NA,NA
Alabama,2020-10-22,2,0,34,NA,2635,2560,3025,NA,NA
Alabama,2020-10-23,2,0,31,NA,2636,2561,3044,NA,NA
Alabama,2020-10-24,2,0,30,NA,2639,2561,3077,NA,NA
Alabama,2020-10-25,1,0,34,NA,2642,2562,3123,NA,NA
Alabama,2020-10-26,2,0,34,NA,2644,2562,3129,NA,NA
Alaska,2020-09-28,0,0,4,NA,52,52,56,NA,NA
Alaska,2020-09-29,0,0,4,NA,53,52,59,NA,NA
Alaska,2020-09-30,0,0,5,NA,53,52,60,NA,NA
Alaska,2020-10-01,0,0,5,NA,54,52,62,NA,NA
Alaska,2020-10-02,0,0,5,NA,54,52,64,NA,NA
Alaska,2020-10-03,0,0,5,NA,55,52,65,NA,NA
Alaska,2020-10-04,0,0,4,NA,56,52,68,NA,NA
Alaska,2020-10-05,0,0,4,NA,56,52,69,NA,NA
Alaska,2020-10-06,0,0,5,NA,57,52,70,NA,NA
Alaska,2020-10-07,0,0,4,NA,57,52,71,NA,NA
Alaska,2020-10-08,0,0,4,NA,58,52,72,NA,NA
Alaska,2020-10-09,0,0,4,NA,58,52,74,NA,NA
Alaska,2020-10-10,0,0,4,NA,59,52,76,NA,NA
Alaska,2020-10-11,0,0,4,NA,59,52,76,NA,NA
Alaska,2020-10-12,0,0,4,NA,60,53,77,NA,NA
Alaska,2020-10-13,0,0,3,NA,60,53,78,NA,NA
Alaska,2020-10-14,0,0,4,NA,60,53,79,NA,NA
Alaska,2020-10-15,0,0,3,NA,61,53,80,NA,NA
Alaska,2020-10-16,0,0,3,NA,61,53,81,NA,NA
Alaska,2020-10-17,0,0,3,NA,62,53,83,NA,NA
Alaska,2020-10-18,0,0,4,NA,62,53,83,NA,NA
Alaska,2020-10-19,0,0,4,NA,62,53,84,NA,NA
Alaska,2020-10-20,0,0,4,NA,63,53,85,NA,NA
Alaska,2020-10-21,0,0,3,NA,63,53,87,NA,NA
Alaska,2020-10-22,0,0,3,NA,63,53,88,NA,NA
Alaska,2020-10-23,0,0,3,NA,64,53,88,NA,NA
Alaska,2020-10-24,0,0,3,NA,64,53,88,NA,NA
Alaska,2020-10-25,0,0,3,NA,64,54,89,NA,NA
Alaska,2020-10-26,0,0,3,NA,64,54,90,NA,NA
Arizona,2020-09-28,13,1,50,NA,5640,5628,5677,NA,NA
Arizona,2020-09-29,13,1,52,NA,5656,5634,5709,NA,NA
Arizona,2020-09-30,13,1,52,NA,5671,5640,5742,NA,NA
Arizona,2020-10-01,12,1,48,NA,5686,5647,5765,NA,NA
Arizona,2020-10-02,11,1,48,NA,5699,5655,5796,NA,NA
Arizona,2020-10-03,11,1,49,NA,5713,5661,5828,NA,NA
Arizona,2020-10-04,11,0,46,NA,5726,5667,5857,NA,NA
Arizona,2020-10-05,10,1,44,NA,5740,5673,5874,NA,NA
Arizona,2020-10-06,10,1,47,NA,5751,5677,5908,NA,NA
Arizona,2020-10-07,9,0,41,NA,5762,5681,5943,NA,NA
Arizona,2020-10-08,9,1,41,NA,5774,5687,5964,NA,NA
Arizona,2020-10-09,8,0,41,NA,5784,5692,5982,NA,NA
Arizona,2020-10-10,8,0,38,NA,5792,5696,6002,NA,NA
Arizona,2020-10-11,8,0,39,NA,5802,5703,6028,NA,NA
Arizona,2020-10-12,7,0,37,NA,5808,5706,6057,NA,NA
Arizona,2020-10-13,6,0,38,NA,5817,5710,6082,NA,NA
Arizona,2020-10-14,7,0,34,NA,5826,5713,6104,NA,NA
Arizona,2020-10-15,6,0,32,NA,5833,5719,6130,NA,NA
