state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
Alabama,2020-03-26,2,1.2857142857142856,2,2,3,2,2,2,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-03-27,1,1.4285714285714286,1,1,4,3,3,3,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-03-28,0,1.4285714285714286,0,0,4,3,3,3,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-03-29,1,1.7142857142857144,1,1,5,4,4,4,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-03-30,6,2.7142857142857144,6,6,11,10,10,10,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-03-31,3,3.142857142857143,3,3,14,13,13,13,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-01,14,3.8571428571428568,14,14,28,27,27,27,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-02,4,4.428571428571429,4,4,32,31,31,31,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-03,6,5.285714285714286,6,6,38,37,37,37,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-04,6,4.714285714285714,6,6,44,43,43,43,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-05,1,5.285714285714286,1,1,45,44,44,44,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-06,8,7.571428571428571,8,8,53,52,52,52,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-07,11,8.428571428571429,11,11,64,63,63,63,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-08,3,9,3,3,67,66,66,66,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-09,11,9.428571428571429,11,11,78,77,77,77,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-10,2,9.857142857142858,2,2,80,79,79,79,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-11,13,7.571428571428571,13,13,93,92,92,92,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-12,0,7.571428571428571,0,0,93,92,92,92,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-13,11,10.142857142857142,11,11,104,103,103,103,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-14,10,10.142857142857142,10,10,114,113,113,113,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-15,9,10.285714285714285,9,9,123,122,122,122,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-16,14,10.142857142857144,14,14,137,136,136,136,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-17,14,10.285714285714286,14,14,151,150,150,150,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-19,13,7.571428571428571,13,13,160,163,163,163,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-20,4,10.714285714285715,4,4,164,167,167,167,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-21,22,11,22,22,186,189,189,189,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-22,15,11.142857142857142,15,15,201,204,204,204,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-24,12,11.714285714285715,12,12,209,216,216,216,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-25,4,8.428571428571429,4,4,213,220,220,220,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-26,6,8.428571428571429,6,6,219,226,226,226,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-27,9,12.571428571428571,9,9,228,235,235,235,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-28,14,12.857142857142858,14,14,242,249,249,249,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-29,20,13,20,20,262,269,269,269,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-04-30,10,13.285714285714286,10,10,272,279,279,279,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-01,NA,12.142857142857142,5,24.285714285714285,NA,291.14285714285717,284,303.2857142857143,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-02,NA,12.428571428571429,5,25.142857142857142,NA,304.14285714285717,292.2857142857143,323.14285714285717,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-03,NA,12.428571428571429,5.142857142857142,25.714285714285715,NA,317.2857142857143,300.7142857142857,343.14285714285717,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-04,NA,12.857142857142858,5.142857142857142,26.86428571428561,NA,330.7142857142857,309.85714285714283,363.57142857142856,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-05,NA,13.142857142857142,5,28.142857142857142,NA,344.7142857142857,318.42857142857144,385.5785714285713,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-06,NA,13.142857142857142,5,29.42857142857143,NA,359,326.85714285714283,409.42857142857144,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-07,NA,13.571428571428571,5,30.57142857142857,NA,373.14285714285717,335.1357142857143,433.42857142857144,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-08,NA,13.571428571428573,4.857142857142857,32.00714285714275,NA,387.85714285714283,343.14285714285717,459.2857142857143,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-09,NA,14,4.714285714285714,34.857142857142854,NA,402.85714285714283,350.7142857142857,486.14285714285717,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-10,NA,14.285714285714285,4.571428571428571,37.285714285714285,NA,417.57142857142856,358.42857142857144,518.4285714285714,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-11,NA,14.571428571428571,4.428571428571429,39.714285714285715,NA,433.14285714285717,366,553.0071428571428,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-12,NA,14.571428571428571,4.142857142857143,41.857142857142854,NA,448.7142857142857,372.1357142857143,590.2999999999998,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-13,NA,14.571428571428571,4.142857142857142,45,NA,464,378.27857142857147,628.5928571428568,4903185,0.3094,0.4266,0.491,0.6097
Alabama,2020-05-14,NA,14.571428571428571,3.7142857142857144,49.42857142857143,NA,479.8571428571429,384.2857142857143,672.8714285714284,4903185,0.3094,0.4266,0.491,0.6097
