date,state,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper
2020-03-13,Alabama,0,0,0,0,0,0,0,0
2020-03-14,Alabama,0,0,0,0,0,0,0,0
2020-03-15,Alabama,0,0,0,0,0,0,0,0
2020-03-16,Alabama,0,0,0,0,0,0,0,0
2020-03-17,Alabama,0,0,0,0,0,0,0,0
2020-03-18,Alabama,0,0,0,0,0,0,0,0
2020-03-19,Alabama,0,0,0,0,0,0,0,0
2020-03-20,Alabama,0,0,0,0,0,0,0,0
2020-03-21,Alabama,0,0,0,0,0,0,0,0
2020-03-22,Alabama,0,0,0,0,0,0,0,0
2020-03-23,Alabama,0,0,0,0,0,0,0,0
2020-03-24,Alabama,0,0,0,0,0,0,0,0
2020-03-25,Alabama,1,1,1,1,1,1,1,1
2020-03-26,Alabama,2,2,2,2,3,3,3,3
2020-03-27,Alabama,1,1,1,1,4,4,4,4
2020-03-28,Alabama,0,0,0,0,4,4,4,4
2020-03-29,Alabama,1,1,1,1,5,5,5,5
2020-03-30,Alabama,6,6,6,6,11,11,11,11
2020-03-31,Alabama,2,2,2,2,13,13,13,13
2020-04-01,Alabama,15,15,15,15,28,28,28,28
2020-04-02,Alabama,4,4,4,4,32,32,32,32
2020-04-03,Alabama,6,6,6,6,38,38,38,38
2020-04-04,Alabama,6,6,6,6,44,44,44,44
2020-04-05,Alabama,1,1,1,1,45,45,45,45
2020-04-06,Alabama,8,8,8,8,53,53,53,53
2020-04-07,Alabama,11,11,11,11,64,64,64,64
2020-04-08,Alabama,3,3,3,3,67,67,67,67
2020-04-09,Alabama,11,11,11,11,78,78,78,78
2020-04-10,Alabama,2,2,2,2,80,80,80,80
2020-04-11,Alabama,13,13,13,13,93,93,93,93
2020-04-12,Alabama,0,0,0,0,93,93,93,93
2020-04-13,Alabama,11,11,11,11,104,104,104,104
2020-04-14,Alabama,10,10,10,10,114,114,114,114
2020-04-15,Alabama,9,9,9,9,123,123,123,123
2020-04-16,Alabama,14,14,14,14,137,137,137,137
2020-04-17,Alabama,14,14,14,14,151,151,151,151
2020-04-18,Alabama,-4,-4,-4,-4,147,147,147,147
2020-04-19,Alabama,13,13,13,13,160,160,160,160
2020-04-20,Alabama,4,4,4,4,164,164,164,164
2020-04-21,Alabama,22,22,22,22,186,186,186,186
2020-04-22,Alabama,15,15,15,15,201,201,201,201
2020-04-23,Alabama,-4,-4,-4,-4,197,197,197,197
2020-04-24,Alabama,12,12,12,12,209,209,209,209
2020-04-25,Alabama,4,4,4,4,213,213,213,213
2020-04-26,Alabama,6,6,6,6,219,219,219,219
2020-04-27,Alabama,9,9,9,9,228,228,228,228
2020-04-28,Alabama,14,14,14,14,242,242,242,242
2020-04-29,Alabama,20,20,20,20,262,262,262,262
2020-04-30,Alabama,10,10,10,10,272,272,272,272
2020-05-01,Alabama,17,17,17,17,289,289,289,289
2020-05-02,Alabama,-1,-1,-1,-1,288,288,288,288
2020-05-03,Alabama,2,2,2,2,290,290,290,290
2020-05-04,Alabama,8,8,8,8,298,298,298,298
2020-05-05,Alabama,17,17,17,17,315,315,315,315
2020-05-06,Alabama,28,28,28,28,343,343,343,343
2020-05-07,Alabama,26,26,26,26,369,369,369,369
2020-05-08,Alabama,14,14,14,14,383,383,383,383
2020-05-09,Alabama,7,7,7,7,390,390,390,390
2020-05-10,Alabama,3,3,3,3,393,393,393,393
2020-05-11,Alabama,10,10,10,10,403,403,403,403
2020-05-12,Alabama,32,32,32,32,435,435,435,435
