state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,population,daily_deaths_av7
Alabama,2020-03-27,3,1.2857142857142856,3,3,4,3,3,3,4903185,NA
Alabama,2020-03-28,0,1.4285714285714286,0,0,4,3,3,3,4903185,NA
Alabama,2020-03-29,6,1.4285714285714286,6,6,10,9,9,9,4903185,NA
Alabama,2020-03-30,0,1.7142857142857144,0,0,10,9,9,9,4903185,4.428571428571428
Alabama,2020-03-31,13,2.4285714285714284,13,13,23,22,22,22,4903185,4.857142857142856
Alabama,2020-04-01,4,3,4,4,27,26,26,26,4903185,5.7142857142857135
Alabama,2020-04-02,5,3.7142857142857144,5,5,32,31,31,31,4903185,4.999999999999999
Alabama,2020-04-03,6,4.285714285714286,6,6,38,37,37,37,4903185,5.57142857142857
Alabama,2020-04-04,6,5.142857142857142,6,6,44,43,43,43,4903185,5.857142857142857
Alabama,2020-04-05,1,4.428571428571429,1,1,45,44,44,44,4903185,5.571428571428571
Alabama,2020-04-06,4,5,4,4,49,48,48,48,4903185,5.428571428571428
Alabama,2020-04-07,15,7.857142857142857,15,15,64,63,63,63,4903185,6
Alabama,2020-04-08,2,8.571428571428571,2,2,66,65,65,65,4903185,6.857142857142857
Alabama,2020-04-09,4,9.285714285714286,4,4,70,69,69,69,4903185,6.857142857142856
Alabama,2020-04-10,10,10.142857142857142,10,10,80,79,79,79,4903185,7.142857142857142
Alabama,2020-04-11,12,10.571428571428571,12,12,92,91,91,91,4903185,7.1428571428571415
Alabama,2020-04-12,1,7.857142857142858,1,1,93,92,92,92,4903185,7.428571428571429
Alabama,2020-04-13,6,8,6,6,99,98,98,98,4903185,9
Alabama,2020-04-14,15,11.714285714285714,15,15,114,113,113,113,4903185,9.714285714285714
Alabama,2020-04-15,4,11.714285714285714,4,4,118,117,117,117,4903185,8.714285714285714
Alabama,2020-04-16,15,11.857142857142858,15,15,133,132,132,132,4903185,9.142857142857142
Alabama,2020-04-17,15,11.714285714285715,15,15,148,147,147,147,4903185,9.14285714285714
Alabama,2020-04-18,5,11.571428571428573,5,5,153,152,152,152,4903185,9.857142857142856
Alabama,2020-04-19,4,8,4,4,157,156,156,156,4903185,11.14285714285714
Alabama,2020-04-20,6,8.142857142857142,6,6,163,162,162,162,4903185,9.857142857142856
Alabama,2020-04-21,20,12.142857142857142,20,20,183,182,182,182,4903185,8.714285714285714
Alabama,2020-04-22,13,12.285714285714285,13,13,196,195,195,195,4903185,7.999999999999999
Alabama,2020-04-23,6,12.5,6,6,202,201,201,201,4903185,8.857142857142856
Alabama,2020-04-24,7,12.714285714285715,7,7,209,208,208,208,4903185,9.285714285714285
Alabama,2020-04-25,0,12.857142857142858,0,0,209,208,208,208,4903185,8.428571428571427
Alabama,2020-04-26,10,8,10,10,219,218,218,218,4903185,8.571428571428571
Alabama,2020-04-27,9,7.857142857142858,9,9,228,227,227,227,4903185,10
Alabama,2020-04-28,14,12.857142857142858,14,14,242,241,241,241,4903185,11.428571428571429
Alabama,2020-04-29,14,12.857142857142858,14,14,256,255,255,255,4903185,11.714285714285714
Alabama,2020-04-30,16,12.714285714285715,16,16,272,271,271,271,4903185,11.428571428571427
Alabama,2020-05-01,17,12.714285714285715,17,17,289,288,288,288,4903185,12.57142857142857
Alabama,2020-05-03,2,7.571428571428571,2,2,290,290,290,290,4903185,14.57142857142857
Alabama,2020-05-04,8,7.285714285714286,8,8,298,298,298,298,4903185,16.285714285714285
Alabama,2020-05-05,17,12.285714285714285,17,17,315,315,315,315,4903185,16
Alabama,2020-05-06,28,12.142857142857142,28,28,343,343,343,343,4903185,14.571428571428571
Alabama,2020-05-07,26,11.857142857142858,26,26,369,369,369,369,4903185,14.714285714285714
Alabama,2020-05-08,14,11.857142857142858,14,14,383,383,383,383,4903185,15
Alabama,2020-05-09,7,11.714285714285715,7,7,390,390,390,390,4903185,17.142857142857142
Alabama,2020-05-10,3,6.7142857142857135,3,3,393,393,393,393,4903185,15.285714285714285
Alabama,2020-05-11,10,6.571428571428571,10,10,403,403,403,403,4903185,14.857142857142858
Alabama,2020-05-12,32,11.714285714285714,32,32,435,435,435,435,4903185,14.285714285714285
Alabama,2020-05-13,15,11.571428571428573,15,15,450,450,450,450,4903185,13.571428571428571
Alabama,2020-05-14,23,11.428571428571429,23,23,473,473,473,473,4903185,13.571428571428571
Alabama,2020-05-15,10,11.571428571428573,10,10,483,483,483,483,4903185,12.285714285714285
Alabama,2020-05-16,2,11.571428571428573,2,2,485,485,485,485,4903185,9.857142857142856
Alabama,2020-05-17,3,6.285714285714286,3,3,488,488,488,488,4903185,10.285714285714285
Alabama,2020-05-18,1,6.428571428571429,1,1,489,489,489,489,4903185,8
Alabama,2020-05-19,15,11.571428571428573,15,15,504,504,504,504,4903185,8.285714285714286
Alabama,2020-05-20,18,11.714285714285714,18,18,522,522,522,522,4903185,9.142857142857142
Alabama,2020-05-21,7,11.714285714285714,7,7,529,529,529,529,4903185,8.999999999999998
Alabama,2020-05-22,12,11.428571428571427,12,12,541,541,541,541,4903185,11
Alabama,2020-05-23,8,11.428571428571429,8,8,549,549,549,549,4903185,10.857142857142856
Alabama,2020-05-24,2,6,2,2,551,551,551,551,4903185,8.714285714285715
Alabama,2020-05-25,15,6.142857142857142,15,15,566,566,566,566,4903185,8.857142857142856
Alabama,2020-05-26,14,11.571428571428571,14,14,580,580,580,580,4903185,9.857142857142858
Alabama,2020-05-27,3,11.428571428571427,3,3,583,583,583,583,4903185,9.857142857142858
Alabama,2020-05-28,8,11.428571428571427,8,8,591,591,591,591,4903185,11.285714285714285
Alabama,2020-05-29,19,11.142857142857142,19,19,610,610,610,610,4903185,11.428571428571427
Alabama,2020-05-30,8,11.142857142857142,8,8,618,618,618,618,4903185,10.428571428571427
Alabama,2020-05-31,12,5.7142857142857135,12,12,630,630,630,630,4903185,9.999999999999998
Alabama,2020-06-01,16,5.714285714285714,16,16,646,646,646,646,4903185,8.857142857142856
Alabama,2020-06-02,7,11.714285714285715,7,7,653,653,653,653,4903185,9.428571428571427
Alabama,2020-06-03,0,11.857142857142858,0,0,653,653,653,653,4903185,10.14285714285714
Alabama,2020-06-04,0,12,0,0,653,653,653,653,4903185,8.857142857142858
Alabama,2020-06-05,23,12.142857142857142,23,23,676,676,676,676,4903185,10.285714285714285
Alabama,2020-06-06,13,12.285714285714285,13,13,689,689,689,689,4903185,10.857142857142858
Alabama,2020-06-07,3,6.142857142857142,3,3,692,692,692,692,4903185,13
Alabama,2020-06-08,26,6.428571428571429,26,26,718,718,718,718,4903185,14.571428571428573
Alabama,2020-06-09,11,13.142857142857142,11,11,729,729,729,729,4903185,13.285714285714285
Alabama,2020-06-10,15,13,15,15,744,744,744,744,4903185,11.999999999999998
Alabama,2020-06-11,11,12.857142857142858,11,11,755,755,755,755,4903185,11.57142857142857
Alabama,2020-06-12,14,12,14,14,769,769,769,769,4903185,NA
Alabama,2020-06-13,4,11.714285714285714,4,4,773,773,773,773,4903185,NA
Alabama,2020-06-14,0,5.285714285714286,0,0,773,773,773,773,4903185,NA
Alabama,2020-06-15,NA,10,1,32,NA,783,774,805,4903185,NA
Alabama,2020-06-16,NA,10,1,32,NA,795,778,825.025,4903185,NA
Alabama,2020-06-17,NA,10,1,36.02499999999998,NA,807,784,845,4903185,NA
Alabama,2020-06-18,NA,10,1,36,NA,820,793,860.025,4903185,NA
Alabama,2020-06-19,NA,10,1,35,NA,832,801,882,4903185,NA
Alabama,2020-06-20,NA,11,1,43,NA,844,810,903.025,4903185,NA
Alabama,2020-06-21,NA,12,1,39.049999999999955,NA,858,818,923.025,4903185,NA
Alabama,2020-06-22,NA,12,1,40.02499999999998,NA,874,828,942.025,4903185,NA
Alabama,2020-06-23,NA,12,2,39,NA,887,837,963.025,4903185,NA
Alabama,2020-06-24,NA,12.5,2,41,NA,901,847,982,4903185,NA
Alabama,2020-06-25,NA,13,2,44,NA,917,854.975,1001.025,4903185,NA
Alabama,2020-06-26,NA,14,2,48,NA,935,867.975,1025.025,4903185,NA
Alabama,2020-06-27,NA,14,2,44.02499999999998,NA,950,879,1044.025,4903185,NA
Alabama,2020-06-28,NA,14,2,46,NA,968,888.9749999999999,1068,4903185,NA
Alabama,2020-06-29,NA,15,2,49.049999999999955,NA,985,901.95,1090,4903185,NA
Alabama,2020-06-30,NA,14,2,50,NA,1002,914.9749999999999,1114.025,4903185,NA
Alabama,2020-07-01,NA,16,2.9750000000000014,52,NA,1022,927.975,1141.0249999999999,4903185,NA
Alabama,2020-07-02,NA,17,2,57.02499999999998,NA,1041,944,1165.0249999999999,4903185,NA
Alabama,2020-07-03,NA,17,3,61,NA,1063,955,1200.025,4903185,NA
Alabama,2020-07-04,NA,18,3,53,NA,1084.5,969.975,1232,4903185,NA
Alabama,2020-07-05,NA,20,2,61,NA,1108,986,1252.025,4903185,NA
Alabama,2020-07-06,NA,20,3,66,NA,1129,1001.975,1290,4903185,NA
Alabama,2020-07-07,NA,20,3,63.02499999999998,NA,1153,1016,1316.025,4903185,NA
Alabama,2020-07-08,NA,21,3,66,NA,1175,1033.95,1349.0749999999998,4903185,NA
Alabama,2020-07-09,NA,22,3.9750000000000014,73.02499999999998,NA,1203,1047,1394.025,4903185,NA
Alabama,2020-07-10,NA,24,4,73.12499999999989,NA,1232,1068.95,1436.025,4903185,NA
Alabama,2020-07-11,NA,25,5,80.02499999999998,NA,1262,1085.975,1471.125,4903185,NA
Alabama,2020-07-12,NA,27,5,77,NA,1292,1109.95,1509,4903185,NA
Alabama,2020-07-13,NA,27,4,93.02499999999998,NA,1324,1136.95,1552.0749999999998,4903185,NA
Alaska,2020-03-25,1,0,1,1,1,1,1,1,731545,NA
Alaska,2020-03-26,0,0,0,0,1,1,1,1,731545,NA
Alaska,2020-03-27,0,0,0,0,1,1,1,1,731545,NA
