state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
Alabama,2020-11-02,10,1,51,NA,2999,2990,3040,NA,NA
Alabama,2020-11-03,11,0,49,NA,3013,2994,3064,NA,NA
Alabama,2020-11-04,11,1,51,NA,3028,2999,3099,NA,NA
Alabama,2020-11-05,11,1,49,NA,3043,3005,3129,NA,NA
Alabama,2020-11-06,11,0,56,NA,3056,3012,3171,NA,NA
Alabama,2020-11-07,11,0,59,NA,3068,3017,3184,NA,NA
Alabama,2020-11-08,11,1,52,NA,3082,3024,3211,NA,NA
Alabama,2020-11-09,11,0,59,NA,3098,3031,3255,NA,NA
Alabama,2020-11-10,11,0,54,NA,3113,3037,3283,NA,NA
Alabama,2020-11-11,11,0,63,NA,3128,3043,3317,NA,NA
Alabama,2020-11-12,11,1,55,NA,3144,3049,3350,NA,NA
Alabama,2020-11-13,11,0,60,NA,3157,3057,3382,NA,NA
Alabama,2020-11-14,12,0,69,NA,3172,3062,3422,NA,NA
Alabama,2020-11-15,11,0,66,NA,3186,3066,3468,NA,NA
Alabama,2020-11-16,11,1,65,NA,3198,3070,3507,NA,NA
Alabama,2020-11-17,11,0,67,NA,3214,3075,3558,NA,NA
Alabama,2020-11-18,11,0,70,NA,3226,3079,3607,NA,NA
Alabama,2020-11-19,11,0,75,NA,3240,3087,3627,NA,NA
Alabama,2020-11-20,11,0,66,NA,3252,3090,3671,NA,NA
Alabama,2020-11-21,11,1,63,NA,3266,3097,3723,NA,NA
Alabama,2020-11-22,10,0,66,NA,3281,3101,3771,NA,NA
Alabama,2020-11-23,11,0,71,NA,3296,3105,3799,NA,NA
Alabama,2020-11-24,11,0,75,NA,3310,3109,3855,NA,NA
Alabama,2020-11-25,10,0,64,NA,3323,3116,3911,NA,NA
Alabama,2020-11-26,10,0,79,NA,3338,3120,3972,NA,NA
Alabama,2020-11-27,10,0,79,NA,3354,3126,3999,NA,NA
Alabama,2020-11-28,10,0,71,NA,3364,3132,4062,NA,NA
Alabama,2020-11-29,10,0,76,NA,3375,3135,4108,NA,NA
Alabama,2020-11-30,10,0,83,NA,3390,3137,4130,NA,NA
Alaska,2020-11-02,1,0,6,NA,84,83,89,NA,NA
Alaska,2020-11-03,1,0,6,NA,85,83,92,NA,NA
Alaska,2020-11-04,1,0,6,NA,86,83,95,NA,NA
Alaska,2020-11-05,1,0,6,NA,87,83,98,NA,NA
Alaska,2020-11-06,1,0,5,NA,88,83,101,NA,NA
Alaska,2020-11-07,1,0,6,NA,90,84,104,NA,NA
Alaska,2020-11-08,1,0,6,NA,91,84,107,NA,NA
Alaska,2020-11-09,1,0,6,NA,92,84,109,NA,NA
Alaska,2020-11-10,1,0,7,NA,93,84,113,NA,NA
Alaska,2020-11-11,1,0,6,NA,94,85,115,NA,NA
Alaska,2020-11-12,1,0,6,NA,96,85,119,NA,NA
