date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper
2020-03-01,2,NA,NA,NA,2,NA,NA,NA
2020-03-02,3,NA,NA,NA,5,NA,NA,NA
2020-03-03,4,NA,NA,NA,9,NA,NA,NA
2020-03-04,1,NA,NA,NA,10,NA,NA,NA
2020-03-05,0,NA,NA,NA,10,NA,NA,NA
2020-03-06,1,NA,NA,NA,11,NA,NA,NA
2020-03-07,4,NA,NA,NA,15,NA,NA,NA
2020-03-08,3,NA,NA,NA,18,NA,NA,NA
2020-03-09,3,NA,NA,NA,21,NA,NA,NA
2020-03-10,3,NA,NA,NA,24,NA,NA,NA
2020-03-11,5,NA,NA,NA,29,NA,NA,NA
2020-03-12,4,NA,NA,NA,33,NA,NA,NA
2020-03-13,6,NA,NA,NA,39,NA,NA,NA
2020-03-14,3,NA,NA,NA,42,NA,NA,NA
2020-03-15,7,NA,NA,NA,49,NA,NA,NA
2020-03-16,13,NA,NA,NA,62,NA,NA,NA
2020-03-17,20,NA,NA,NA,82,NA,NA,NA
2020-03-18,33,NA,NA,NA,115,NA,NA,NA
2020-03-19,43,NA,NA,NA,158,NA,NA,NA
2020-03-20,58,NA,NA,NA,216,NA,NA,NA
2020-03-21,70,NA,NA,NA,286,NA,NA,NA
2020-03-22,88,NA,NA,NA,374,NA,NA,NA
2020-03-23,109,NA,NA,NA,483,NA,NA,NA
2020-03-24,200,NA,NA,NA,683,NA,NA,NA
2020-03-25,252,NA,NA,NA,935,NA,NA,NA
2020-03-26,278,NA,NA,NA,1213,NA,NA,NA
2020-03-27,371,NA,NA,NA,1584,NA,NA,NA
2020-03-28,486,NA,NA,NA,2070,NA,NA,NA
2020-03-29,272,NA,NA,NA,2342,NA,NA,NA
2020-03-30,495,NA,NA,NA,2837,NA,NA,NA
2020-03-31,720,NA,NA,NA,3557,NA,NA,NA
2020-04-01,915,NA,NA,NA,4472,NA,NA,NA
2020-04-02,960,NA,NA,NA,5432,NA,NA,NA
2020-04-03,1630,NA,NA,NA,7062,NA,NA,NA
2020-04-04,1366,NA,NA,NA,8428,NA,NA,NA
2020-04-05,1154,NA,NA,NA,9582,NA,NA,NA
2020-04-06,2048,NA,NA,NA,11630,NA,NA,NA
2020-04-07,1249,NA,NA,NA,12879,NA,NA,NA
2020-04-08,1835,NA,NA,NA,14714,NA,NA,NA
2020-04-09,1897,NA,NA,NA,16611,NA,NA,NA
2020-04-10,2029,NA,NA,NA,18640,NA,NA,NA
2020-04-11,1860,NA,NA,NA,20500,NA,NA,NA
2020-04-12,1477,NA,NA,NA,21977,NA,NA,NA
2020-04-13,1549,NA,NA,NA,23526,NA,NA,NA
2020-04-14,NA,1446,2167.0499999999993,1031,NA,24972,25693.05,24557
2020-04-15,NA,1355,2068.0499999999993,942,NA,26363,27544.1,25639
2020-04-16,NA,1266,2065.0499999999993,855,NA,27644,29377,26598.95
2020-04-17,NA,1181,2027.0499999999993,759.95,NA,28859.5,31216.1,27452
2020-04-18,NA,1096,2065.0499999999993,664,NA,29985,33118.05,28182
2020-04-19,NA,1030,2123.0499999999993,586,NA,31034,35168.2,28822.95
2020-04-20,NA,972,2203,517.95,NA,32020,37301.09999999999,29380
2020-04-21,NA,910,2360.0499999999993,454.95000000000005,NA,32948,39504.1,29882
2020-04-22,NA,860,2479,398,NA,33822.5,41887.35,30315
2020-04-23,NA,810,2674,346,NA,34668.5,44515.15,30693
2020-04-24,NA,768,2900.0499999999993,296,NA,35458,47331.64999999996,31033.95
2020-04-25,NA,745,3294.399999999994,253,NA,36232,50506.25,31339.9
2020-04-26,NA,719,3837.199999999997,218,NA,36975,54161.29999999993,31609.95
2020-04-27,NA,684.5,4396.69999999999,186,NA,37714,58467.25,31872
2020-04-28,NA,654,5125.399999999994,157,NA,38424.5,63126.74999999995,32091.850000000002
2020-04-29,NA,624,6274.899999999987,132.95000000000005,NA,39143,69211.94999999998,32275
2020-04-30,NA,610,7912.199999999997,109,NA,39811.5,76962.5999999999,32433.95
2020-05-01,NA,600,10461.149999999998,90,NA,40494.5,88025.14999999988,32595.85
2020-05-02,NA,594,14278.299999999967,77,NA,41167,102490.69999999991,32732.9
2020-05-03,NA,604,20442.099999999955,64,NA,41899.5,123967.89999999998,32845.75
2020-05-04,NA,635,33727.399999999994,54,NA,42664,156244.59999999995,32945.5
