date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7
2020-03-02,5,5,5,5,5,5,5,5,NA
2020-03-03,1,1,1,1,6,6,6,6,NA
2020-03-04,3,3,3,3,9,9,9,9,NA
2020-03-05,1,1,1,1,10,10,10,10,2.4285714285714284
2020-03-06,2,2,2,2,12,12,12,12,1.857142857142857
2020-03-07,3,3,3,3,15,15,15,15,2.285714285714285
2020-03-08,2,2,2,2,17,17,17,17,2.142857142857143
2020-03-09,1,1,1,1,18,18,18,18,2.9999999999999996
2020-03-10,4,4,4,4,22,22,22,22,3.8571428571428568
2020-03-11,2,2,2,2,24,24,24,24,3.714285714285714
2020-03-12,7,7,7,7,31,31,31,31,4.571428571428571
2020-03-13,8,8,8,8,39,39,39,39,7.57142857142857
2020-03-14,2,2,2,2,41,41,41,41,11.142857142857142
2020-03-15,8,8,8,8,49,49,49,49,17.857142857142858
2020-03-16,22,22,22,22,71,71,71,71,27.285714285714285
2020-03-17,29,29,29,29,100,100,100,100,39.42857142857144
2020-03-18,49,49,49,49,149,149,149,149,51.28571428571429
2020-03-19,73,73,73,73,222,222,222,222,70
2020-03-20,93,93,93,93,315,315,315,315,92.99999999999999
2020-03-21,85,85,85,85,400,400,400,400,121.71428571428571
2020-03-22,139,139,139,139,539,539,539,539,158.57142857142856
2020-03-23,183,183,183,183,722,722,722,722,206.14285714285714
2020-03-24,230,230,230,230,952,952,952,952,270
2020-03-25,307,307,307,307,1259,1259,1259,1259,347.85714285714283
2020-03-26,406,406,406,406,1665,1665,1665,1665,416.4285714285714
2020-03-27,540,540,540,540,2205,2205,2205,2205,505.1428571428571
2020-03-28,630,630,630,630,2835,2835,2835,2835,644.8571428571429
2020-03-29,619,619,619,619,3454,3454,3454,3454,773.8571428571428
2020-03-30,804,804,804,804,4258,4258,4258,4258,938.1428571428571
2020-03-31,1208,1208,1208,1208,5466,5466,5466,5466,1044
2020-04-01,1210,1210,1210,1210,6676,6676,6676,6676,1133.8571428571427
2020-04-02,1556,1556,1556,1556,8232,8232,8232,8232,1244.4285714285713
2020-04-03,1281,1281,1281,1281,9513,9513,9513,9513,1365
2020-04-04,1259,1259,1259,1259,10772,10772,10772,10772,1520.4285714285713
2020-04-05,1393,1393,1393,1393,12165,12165,12165,12165,1644.4285714285713
2020-04-06,1648,1648,1648,1648,13813,13813,13813,13813,1710.4285714285713
2020-04-07,2296,2296,2296,2296,16109,16109,16109,16109,1820.8571428571427
2020-04-08,2078,2078,2078,2078,18187,18187,18187,18187,1927.4285714285713
2020-04-09,2018,2018,2018,2018,20205,20205,20205,20205,1974.285714285714
2020-04-10,2054,2054,2054,2054,22259,22259,22259,22259,1994.285714285714
2020-04-11,2005,2005,2005,2005,24264,24264,24264,24264,2008.9999999999998
2020-04-12,1721,1721,1721,1721,25985,25985,25985,25985,2068.142857142857
2020-04-13,1788,1788,1788,1788,27773,27773,27773,27773,2076.8571428571427
2020-04-14,2399,2399,2399,2399,30172,30172,30172,30172,2152.142857142857
2020-04-15,2492,2492,2492,2492,32664,32664,32664,32664,2201
2020-04-16,2079,2079,2079,2079,34743,34743,34743,34743,2147.4285714285716
2020-04-17,2581,2581,2581,2581,37324,37324,37324,37324,2140.5714285714284
2020-04-18,2347,2347,2347,2347,39671,39671,39671,39671,2140.5714285714284
2020-04-19,1346,1346,1346,1346,41017,41017,41017,41017,2117
2020-04-20,1740,1740,1740,1740,42757,42757,42757,42757,2149
2020-04-21,2399,2399,2399,2399,45156,45156,45156,45156,2032.1428571428569
2020-04-22,2327,2327,2327,2327,47483,47483,47483,47483,2019.1428571428569
2020-04-23,2303,2303,2303,2303,49786,49786,49786,49786,1987.4285714285716
2020-04-24,1763,1763,1763,1763,51549,51549,51549,51549,1930
2020-04-25,2256,2256,2256,2256,53805,53805,53805,53805,1892.142857142857
2020-04-26,1124,1124,1124,1124,54929,54929,54929,54929,1932.857142857143
2020-04-27,1338,1338,1338,1338,56267,56267,56267,56267,1892.857142857143
2020-04-28,2134,2134,2134,2134,58401,58401,58401,58401,1927.428571428571
2020-04-29,2612,2612,2612,2612,61013,61013,61013,61013,1817.428571428571
2020-04-30,2023,2023,2023,2023,63036,63036,63036,63036,1844.142857142857
2020-05-01,2005,2005,2005,2005,65041,65041,65041,65041,1830.2857142857142
2020-05-02,1486,1486,1486,1486,66527,66527,66527,66527,1831.1428571428569
2020-05-03,1311,1311,1311,1311,67838,67838,67838,67838,1799.5714285714282
2020-05-04,1241,1241,1241,1241,69079,69079,69079,69079,1825.5714285714282
2020-05-05,2140,2140,2140,2140,71219,71219,71219,71219,1755.8571428571427
2020-05-06,2391,2391,2391,2391,73610,73610,73610,73610,1774.1428571428569
2020-05-07,2205,2205,2205,2205,75815,75815,75815,75815,1691.2857142857142
2020-05-08,1517,1517,1517,1517,77332,77332,77332,77332,1678.7142857142858
2020-05-09,1614,1614,1614,1614,78946,78946,78946,78946,1614.8571428571427
2020-05-10,731,731,731,731,79677,79677,79677,79677,1522.142857142857
2020-05-11,1153,1153,1153,1153,80830,80830,80830,80830,1461
2020-05-12,1693,1693,1693,1693,82523,82523,82523,82523,1476.7142857142858
2020-05-13,1742,1742,1742,1742,84265,84265,84265,84265,1421
2020-05-14,1777,1777,1777,1777,86042,86042,86042,86042,1431.857142857143
2020-05-15,1627,1627,1627,1627,87669,87669,87669,87669,1379.142857142857
2020-05-16,1224,1224,1224,1224,88893,88893,88893,88893,1362.142857142857
2020-05-17,807,807,807,807,89700,89700,89700,89700,1330
2020-05-18,784,784,784,784,90484,90484,90484,90484,1256.4285714285713
2020-05-19,1574,1574,1574,1574,92058,92058,92058,92058,1206.2857142857142
2020-05-20,1517,1517,1517,1517,93575,93575,93575,93575,1189.5714285714284
2020-05-21,1262,1262,1262,1262,94837,94837,94837,94837,1165.7142857142856
2020-05-22,1276,1276,1276,1276,96113,96113,96113,96113,1124.8571428571427
2020-05-23,1107,1107,1107,1107,97220,97220,97220,97220,998.9999999999999
2020-05-24,640,640,640,640,97860,97860,97860,97860,997.8571428571427
2020-05-25,498,498,498,498,98358,98358,98358,98358,988.5714285714284
2020-05-26,693,693,693,693,99051,99051,99051,99051,976.5714285714286
2020-05-27,1509,1509,1509,1509,100560,100560,100560,100560,956.4285714285714
2020-05-28,1197,1197,1197,1197,101757,101757,101757,101757,950.9999999999999
2020-05-29,1192,1192,1192,1192,102949,102949,102949,102949,989.5714285714286
2020-05-30,966,966,966,966,103915,103915,103915,103915,1037.5714285714284
2020-05-31,602,602,602,602,104517,104517,104517,104517,961.8571428571429
2020-06-01,768,768,768,768,105285,105285,105285,105285,939
2020-06-02,1029,1029,1029,1029,106314,106314,106314,106314,900.1428571428571
2020-06-03,979,979,979,979,107293,107293,107293,107293,857.5714285714286
2020-06-04,1037,1037,1037,1037,108330,108330,108330,108330,874.5714285714286
2020-06-05,920,920,920,920,109250,109250,109250,109250,833.8571428571429
2020-06-06,668,668,668,668,109918,109918,109918,109918,NA
2020-06-07,721,721,721,721,110639,110639,110639,110639,NA
2020-06-08,483,483,483,483,111122,111122,111122,111122,NA
2020-06-09,NA,754.6,619.4,925.9,NA,111720.6,111585.4,111891.9,NA
2020-06-10,NA,738.4,600.2,913.1,NA,112464.5,112247.9,112724.2,NA
2020-06-11,NA,719,587,883.1,NA,113188.1,112885.9,113526.8,NA
2020-06-12,NA,703.1,571.1,868.6,NA,113894.1,113511.7,114321.7,NA
2020-06-13,NA,686.4,551,848.9,NA,114585.6,114131.1,115075.5,NA
2020-06-14,NA,664,534.2,830.6,NA,115253.1,114736.6,115813.3,NA
2020-06-15,NA,646.6,516.4,813.4,NA,115905,115313.7,116549.2,NA
2020-06-16,NA,623.9,497,777.4,NA,116532,115870.6,117257.7,NA
2020-06-17,NA,602.9,472.2,764.6,NA,117136,116404.5,117937.7,NA
2020-06-18,NA,578.1,461.5,735.4,NA,117716.1,116910.7,118606,NA
2020-06-19,NA,556.5,434.8,712,NA,118270.2,117408.6,119266.4,NA
2020-06-20,NA,535,419.9,689.2,NA,118812.1,117891.3,119874,NA
2020-06-21,NA,511.2,401.5,660.9,NA,119321.1,118334.8,120464,NA
2020-06-22,NA,494.9,387.9,640.1,NA,119818.1,118774.2,121061,NA
2020-06-23,NA,471.2,372.9,610.4,NA,120290.3,119188.6,121621.1,NA
2020-06-24,NA,453.8,356.4,601.3,NA,120753.9,119603.3,122163.9,NA
2020-06-25,NA,435.4,345,577.8,NA,121186.2,119982.5,122691.1,NA
2020-06-26,NA,419.6,325.6,548,NA,121605.5,120333.3,123191.1,NA
2020-06-27,NA,405.6,314.6,555.5,NA,122011.9,120696,123647.5,NA
2020-06-28,NA,394.8,309.9,541.1,NA,122410,121060.3,124125,NA
2020-06-29,NA,385.2,306.5,529.9,NA,122803,121390.4,124596.6,NA
2020-06-30,NA,375.4,297.9,527.5,NA,123177.2,121718.3,125107.1,NA
2020-07-01,NA,368.1,285.9,529.8,NA,123549,122059.9,125588.1,NA
2020-07-02,NA,359,280.1,510.6,NA,123902.6,122392.9,126044.8,NA
2020-07-03,NA,354.5,276.1,502.4,NA,124245.8,122714.5,126554.1,NA
2020-07-04,NA,348.6,265.3,503.4,NA,124599.9,123008.5,127136.6,NA
2020-07-05,NA,343.5,267.8,481.1,NA,124956.4,123324.2,127531.6,NA
2020-07-06,NA,338.4,263.7,498.1,NA,125289.9,123621.6,127938.5,NA
2020-07-07,NA,335.9,262.4,485.2,NA,125610.1,123923.8,128417.8,NA
